timestamp,transaction_count,total_value_transferred_eth,unique_active_wallets,avg_gas_price_gwei,total_gas_used
2025-03-21 06:00:00,36641,23561.6324,16406,1.6598,5478501295
2025-03-21 07:00:00,41843,56114.8759,18498,1.5881,5505765371
2025-03-21 08:00:00,47592,97403.6652,20306,1.8359,5451117740
2025-03-21 09:00:00,46962,126058.4986,21039,1.9946,5502617761
2025-03-21 10:00:00,48038,230545.037,21813,1.8367,5475418949
2025-03-21 11:00:00,47974,36114.8933,22110,1.7883,5474131474
2025-03-21 12:00:00,51293,106630.9972,23952,1.9992,5445140620
2025-03-21 13:00:00,54786,123728.1417,25198,2.0988,5409105403
2025-03-21 14:00:00,55789,84264.8312,25244,2.4009,5476153255
2025-03-21 15:00:00,57782,95818.0728,26966,2.5709,5459893130
2025-03-21 16:00:00,57470,54904.9631,25389,2.0616,5503202822
2025-03-21 17:00:00,53811,24063.0032,24246,1.7791,5455701250
2025-03-21 18:00:00,53202,25583.2825,23065,1.7215,5451740742
2025-03-21 19:00:00,51347,45709.1701,22251,1.8304,5497273821
2025-03-21 20:00:00,50184,50430.2898,21524,1.872,5473372001
2025-03-21 21:00:00,46055,79098.1539,19529,1.6742,5494325250
2025-03-21 22:00:00,44861,29549.3602,19140,1.7024,5474724000
2025-03-21 23:00:00,40692,12898.7338,17485,1.6928,5485810382
2025-03-22 00:00:00,46737,18917.9936,21476,2.7789,5500888599
2025-03-22 01:00:00,41170,67392.9867,19560,2.69,5516986724
2025-03-22 02:00:00,40428,20306.6644,19588,1.6272,5494502341
2025-03-22 03:00:00,41305,19031.2662,20541,1.5543,5519296431
2025-03-22 04:00:00,38775,34553.2916,19050,1.3057,5492469469
2025-03-22 05:00:00,33716,23556.3266,14804,2.699,5465002956
2025-03-22 06:00:00,33562,21289.8168,14370,1.5894,5483496130
2025-03-22 07:00:00,34333,12761.3927,15281,1.4266,5491770186
2025-03-22 08:00:00,36473,25264.3847,16586,1.4891,5448809460
2025-03-22 09:00:00,39793,62479.8225,18646,1.5367,5408527249
2025-03-22 10:00:00,39479,59445.2058,18031,1.4712,5507635419
2025-03-22 11:00:00,50724,79690.5712,20173,1.4942,5493432803
2025-03-22 12:00:00,50208,15604.4512,20537,1.4562,5438371804
2025-03-22 13:00:00,47253,13473.5513,21568,1.7486,5461821800
2025-03-22 14:00:00,50018,18372.046,22788,1.9543,5490332144
2025-03-22 15:00:00,50165,30107.9336,22609,7.1971,5456097958
2025-03-22 16:00:00,50140,20837.2519,22656,1.7218,5491083393
2025-03-22 17:00:00,48084,21134.6402,22301,1.6865,5485341382
2025-03-22 18:00:00,46368,26612.1875,21876,1.893,5467768088
2025-03-22 19:00:00,44964,16562.7211,20844,2.3966,5465404953
2025-03-22 20:00:00,45398,35721.4724,20508,1.7051,5466791693
2025-03-22 21:00:00,46585,12385.1171,20669,1.6932,5487357197
2025-03-22 22:00:00,44456,68139.8702,19352,1.5551,5488230648
2025-03-22 23:00:00,47820,16713.9495,18661,1.5909,5459899315
2025-03-23 00:00:00,47628,21811.3102,21190,2.0489,5434904928
2025-03-23 01:00:00,41957,16808.1348,19134,1.4919,5512043355
2025-03-23 02:00:00,36293,21593.2581,16339,2.0622,5519235623
2025-03-23 03:00:00,35935,20423.7517,15919,1.5444,5508120348
2025-03-23 04:00:00,33549,61263.5253,14445,1.6196,5517976377
2025-03-23 05:00:00,32064,36901.279,13774,1.4991,5489771045
2025-03-23 06:00:00,32326,10942.0422,14264,1.6388,5522255440
2025-03-23 07:00:00,30513,12003.9455,13797,1.5607,5452746194
2025-03-23 08:00:00,36634,45562.8051,16599,1.34,5487941617
2025-03-23 09:00:00,37217,13899.5567,16643,1.631,5518471473
2025-03-23 10:00:00,37571,18667.5407,17177,1.374,5504515816
2025-03-23 11:00:00,38641,67792.6407,17093,1.9588,5464910345
2025-03-23 12:00:00,41721,26359.7052,18997,1.4991,5484996207
2025-03-23 13:00:00,42828,22679.2389,18717,1.6626,5465579374
2025-03-23 14:00:00,52163,24298.1971,24357,1.6353,5433886027
2025-03-23 15:00:00,48050,16588.6162,21551,1.5299,5466592662
2025-03-23 16:00:00,46656,42733.5142,20824,1.714,5488683428
2025-03-23 17:00:00,48683,32448.9135,21635,1.7803,5414962088
2025-03-23 18:00:00,47723,14356.4044,21801,1.8803,5372681963
2025-03-23 19:00:00,46741,14345.0505,21710,1.4974,5451256991
2025-03-23 20:00:00,43545,42416.0919,20325,1.4779,5468981978
2025-03-23 21:00:00,40551,26118.365,18198,1.5067,5483415644
2025-03-23 22:00:00,42784,40079.6665,18621,1.6986,5493114914
2025-03-23 23:00:00,38162,19209.2542,16619,1.5999,5523828981
2025-03-24 00:00:00,42149,31558.6122,17469,2.2169,5571463367
2025-03-24 01:00:00,41756,55221.1445,17661,2.21,5480135921
2025-03-24 02:00:00,42276,107809.5032,19637,1.6322,5418939887
2025-03-24 03:00:00,41605,37442.4181,17846,2.0545,5458898476
2025-03-24 04:00:00,42626,43338.5942,17528,1.9451,5512740683
2025-03-24 05:00:00,49560,51246.9332,18444,1.6019,5381467833
2025-03-24 06:00:00,47387,49298.2809,19750,1.8153,5458009327
2025-03-24 07:00:00,45838,76085.6801,20973,1.6314,5489498736
2025-03-24 08:00:00,50838,100945.4547,23906,1.5605,5429225827
2025-03-24 09:00:00,53011,78740.5983,24766,1.5611,5514983682
