timestamp,transaction_count,total_value_transferred_doge,avg_fee_doge,total_size_used_bytes
2024-01-13 05:00:00,7124,236834362.07,0.18769,3279627
2024-01-13 06:00:00,2298,347747538.05,0.659934,1762438
2024-01-13 07:00:00,3117,409406135.59,0.503069,1925810
2024-01-13 08:00:00,3922,592175151.24,0.364758,2149332
2024-01-13 09:00:00,12654,356306678.97,0.464628,14780513
2024-01-13 10:00:00,2722,567285004.46,0.447919,1812224
2024-01-13 11:00:00,4297,499897652.14,0.378781,3139942
2024-01-13 12:00:00,2819,558036937.53,0.505689,1987373
2024-01-13 13:00:00,3213,988452894.24,0.520763,2285196
2024-01-13 14:00:00,2857,495788504.45,0.540449,1738745
2024-01-13 15:00:00,3699,533077276.98,0.434605,2431900
2024-01-13 16:00:00,3845,528778925.44,0.500667,2785160
2024-01-13 17:00:00,3332,681359854.17,0.418237,1980434
2024-01-13 18:00:00,2880,626315115.01,0.45768,1499652
2024-01-13 19:00:00,4512,579794746.11,0.374366,2594414
2024-01-13 20:00:00,3179,466752471.19,0.377692,1241667
2024-01-13 21:00:00,3021,565140622.12,0.456846,1241097
2024-01-13 22:00:00,3126,528072414.67,0.494843,1409744
2024-01-13 23:00:00,4584,660740655.04,0.342636,2058782
2024-01-14 00:00:00,4315,447645479.55,0.269397,1621093
2024-01-14 01:00:00,4540,404796250.38,0.296768,1806099
2024-01-14 02:00:00,3817,420588690.4,0.308824,2010511
2024-01-14 03:00:00,3174,379649578.53,0.399619,1712183
2024-01-14 04:00:00,3786,642005791.2,0.304268,2292364
2024-01-14 05:00:00,2620,435465181.69,0.399425,1621980
2024-01-14 06:00:00,2949,497555139.86,0.345255,1188655
2024-01-14 07:00:00,3206,683196847.74,0.346983,1878680
2024-01-14 08:00:00,2806,938038237.71,0.474389,1789067
2024-01-14 09:00:00,5803,785509693.33,0.438824,4579949
2024-01-14 10:00:00,3629,867215851.54,0.40865,1880145
2024-01-14 11:00:00,2905,656953625.01,0.50429,1571373
2024-01-14 12:00:00,3133,644199167.61,0.472514,1939457
2024-01-14 13:00:00,3109,667357093.6,0.451266,2227656
2024-01-14 14:00:00,10125,584078692.51,0.201158,4288235
2024-01-14 15:00:00,3043,543933193.36,0.417686,1958725
2024-01-14 16:00:00,3659,549105942.38,0.367662,2275869
2024-01-14 17:00:00,3104,554879173.36,0.450692,1586001
2024-01-14 18:00:00,5000,701313435.27,0.318585,2136598
2024-01-14 19:00:00,2776,617081303.39,0.470835,1205353
2024-01-14 20:00:00,3507,466413242.17,0.378375,1578464
2024-01-14 21:00:00,2946,434344616.64,1.010237,2984962
2024-01-14 22:00:00,3321,506146667.7,0.353,1468904
2024-01-14 23:00:00,2972,471063675.07,0.377294,1291064
2024-01-15 00:00:00,6211,646057189.1,0.213309,2367966
2024-01-15 01:00:00,2845,293815645.9,0.495325,1702325
2024-01-15 02:00:00,2799,453644688.77,0.37244,1737722
2024-01-15 03:00:00,2856,410797500.89,0.465574,1389804
2024-01-15 04:00:00,2671,556168586.16,0.5054,2037435
2024-01-15 05:00:00,2980,465142719.52,0.411198,2119082
2024-01-15 06:00:00,2925,1028927344.27,0.462863,2142398
2024-01-15 07:00:00,2758,550353654.0,0.507996,1453776
2024-01-15 08:00:00,3081,504989435.91,0.519399,1485006
2024-01-15 09:00:00,3275,674444686.1,0.42018,1308442
2024-01-15 10:00:00,4020,641246897.21,0.377538,2295491
2024-01-15 11:00:00,3586,481828934.09,0.454384,4711247
2024-01-15 12:00:00,3377,499327530.17,0.461407,2012335
2024-01-15 13:00:00,3447,477137971.11,0.494992,2333039
2024-01-15 14:00:00,4124,603586092.02,0.387336,2605806
2024-01-15 15:00:00,6324,453173737.26,0.273513,3160447
2024-01-15 16:00:00,3910,501883793.3,0.406951,2383807
2024-01-15 17:00:00,15739,517092817.05,0.407661,11444632
2024-01-15 18:00:00,3702,587904098.07,0.355154,2768186
2024-01-15 19:00:00,3745,503703616.0,0.367014,2704968
2024-01-15 20:00:00,3831,467067501.4,0.415088,3815472
2024-01-15 21:00:00,3263,484516522.04,0.428845,2647397
2024-01-15 22:00:00,6842,551074126.56,0.172265,3628101
2024-01-15 23:00:00,7013,352590227.93,0.166461,3202396
2024-01-16 00:00:00,13754,543345177.7,0.441091,14323242
2024-01-16 01:00:00,9154,317300099.62,0.41051,9489506
2024-01-16 02:00:00,4320,685580502.79,0.35685,3353419
2024-01-16 03:00:00,4503,324563340.9,0.431945,4998865
2024-01-16 04:00:00,2788,369904989.11,0.528084,2019763
2024-01-16 05:00:00,2608,379330999.21,0.4865,1966109
2024-01-16 06:00:00,3009,1413766032.68,0.506782,1345079
2024-01-16 07:00:00,2851,367580808.97,0.378176,1192204
2024-01-16 08:00:00,3106,752554146.04,0.437565,1363566
2024-01-16 09:00:00,4260,1218407079.12,0.461383,3373296
2024-01-16 10:00:00,3417,553617440.79,0.885587,2146647
2024-01-16 11:00:00,3203,419559660.23,0.521463,1106376
2024-01-16 12:00:00,3045,748990738.38,0.644526,2068289
2024-01-16 13:00:00,3915,589848721.65,0.569087,2886654
2024-01-16 14:00:00,4835,721367196.83,0.360502,5358308
2024-01-16 15:00:00,4009,659438841.04,0.384133,3593327
2024-01-16 16:00:00,3853,656189183.89,0.392543,3070521
2024-01-16 17:00:00,3022,872343003.63,0.518637,1611075
2024-01-16 18:00:00,3420,810106382.93,0.415472,1502503
2024-01-16 19:00:00,2443,470743468.19,0.522344,1091704
2024-01-16 20:00:00,3786,544842184.23,0.484698,1852420
2024-01-16 21:00:00,2357,696463183.98,0.644365,1296884
2024-01-16 22:00:00,2037,432812613.16,0.699144,962235
2024-01-16 23:00:00,4129,560265760.46,0.398611,3532049
2024-01-17 00:00:00,3646,438923383.09,0.405019,2884926
2024-01-17 01:00:00,5824,352466080.4,0.314236,4517617
2024-01-17 02:00:00,4030,544694079.5,0.473816,3952918
2024-01-17 03:00:00,5600,413987429.87,0.393703,4194354
2024-01-17 04:00:00,28960,696078905.62,0.110961,12356705
2024-01-17 05:00:00,5134,476156533.47,0.479754,3496319
2024-01-17 06:00:00,4829,528483890.04,0.511056,4003077
2024-01-17 07:00:00,3854,894369042.67,0.55645,3723438
2024-01-17 08:00:00,3972,999007959.35,0.59046,3180756
2024-01-17 09:00:00,4495,550785522.93,0.331536,3203768
2024-01-17 10:00:00,3982,887084546.38,0.388883,3540259
2024-01-17 11:00:00,3183,493268900.71,0.568781,2798601
2024-01-17 12:00:00,2882,611334378.14,0.694066,1975556
2024-01-17 13:00:00,3075,345656988.13,0.623323,1802852
2024-01-17 14:00:00,2741,528318361.48,0.570369,1680647
2024-01-17 15:00:00,2658,611541581.15,0.612038,1503703
2024-01-17 16:00:00,2875,478747870.72,0.474118,1355996
2024-01-17 17:00:00,2247,433315544.26,0.562854,1074172
2024-01-17 18:00:00,3066,1196987853.73,0.527462,1581579
2024-01-17 19:00:00,2695,529706425.55,0.457446,1163976
2024-01-17 20:00:00,3019,502745979.26,0.484408,1243684
2024-01-17 21:00:00,9176,618808470.25,0.180297,3449401
2024-01-17 22:00:00,5086,853827962.18,0.39989,3816025
2024-01-17 23:00:00,4716,392018467.56,0.329815,4315739
2024-01-18 00:00:00,9215,628786173.67,0.20206,5987798
2024-01-18 01:00:00,4327,398211771.98,0.457852,3841345
2024-01-18 02:00:00,4400,648179360.88,0.506378,4544913
2024-01-18 03:00:00,3926,433556253.24,0.676357,3440410
2024-01-18 04:00:00,3743,601954167.32,0.574906,2866668
